Temp,Humd,Label
23,34,1
23,34,1
23,34,1
23,37,1
23,38,1
23,40,1
23,42,1
23,42,1
23,44,1
23,44,1
24,47,1
24,48,1
24,50,1
24,52,1
24,54,1
24,55,1
24,57,1
25,59,1
25,60,1
25,61,1
25,63,1
25,64,1
26,65,1
26,66,1
26,65,1
26,65,1
26,64,1
26,63,1
27,62,1
27,61,1
27,60,1
27,59,1
27,57,1
27,56,1
27,55,1
27,54,1
27,54,1
27,54,1
27,54,1
27,59,1
27,59,1
27,59,1
27,60,1
27,61,1
27,63,1
28,63,1
28,64,1
28,65,1
28,65,1
28,65,1
28,66,1
28,67,1
28,68,1
28,68,1
28,68,1
28,68,1
28,66,1
28,64,1
28,62,1
28,58,1
28,57,1
28,55,1
28,52,1
28,51,1
28,49,1
28,48,1
28,48,1
28,47,1
28,46,1
28,45,1
28,45,1
28,44,1
28,43,1
28,42,1
28,42,1
28,41,1
28,41,1
28,40,1
28,40,1
28,39,1
28,39,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,37,1
28,37,1
27,37,1
27,37,1
27,38,1
27,38,1
27,40,1
27,40,1
27,40,1
27,52,1
27,54,1
27,56,1
27,56,1
27,56,1
27,56,1
27,55,1
27,55,1
27,57,1
27,58,1
27,60,1
27,65,1
27,67,1
27,68,1
27,69,1
27,69,1
27,69,1
27,70,1
27,70,1
28,70,1
28,70,1
28,71,1
28,71,1
28,71,1
28,72,1
28,72,1
28,72,1
28,72,1
28,72,1
28,72,1
28,72,1
28,72,1
28,71,1
28,71,1
28,71,1
28,70,1
28,70,1
28,71,1
28,71,1
28,72,1
28,72,1
28,72,1
28,72,1
28,72,1
28,71,1
28,69,1
28,68,1
28,67,1
28,64,1
28,63,1
28,61,1
28,57,1
28,56,1
28,54,1
28,53,1
28,52,1
28,51,1
28,48,1
28,47,1
28,47,1
28,46,1
28,46,1
28,45,1
27,46,1
27,45,1
27,44,1
27,44,1
27,44,1
27,43,1
27,43,1
27,43,1
27,42,1
27,42,1
27,42,1
27,41,1
27,41,1
27,40,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,38,1
27,38,1
27,38,1
26,38,1
26,38,1
26,38,1
26,38,1
26,37,1
26,37,1
26,37,1
26,37,1
26,37,1
26,37,1
26,37,1
26,36,1
26,36,1
26,36,1
26,36,1
26,36,1
26,36,1
26,36,1
26,36,1
26,35,1
26,35,1
26,35,1
26,35,1
26,35,1
26,35,1
26,35,1
26,35,1
26,35,1
26,35,1
26,34,1
26,34,1
26,34,1
26,34,1
26,34,1
26,34,1
26,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,34,1
25,33,1
25,33,1
25,33,1
25,33,1
25,33,1
25,33,1
25,33,1
25,33,1
25,33,1
25,33,1
25,33,1
25,33,1
25,33,1
25,33,1
25,33,1
25,33,1
25,33,1
25,33,1
24,33,1
24,33,1
24,33,1
